,Perc_probability,worry,flood_experience,perc_damage,self_efficacy_DP,self_efficacy_WP,resp_efficacy_DP,resp_efficacy_WP,perc_cost_DP,perc_cost_WP,implemented_DP,implemented_WP,perc_risk
3,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
5,0.0,0.0,0,0.5,0.0,0.0,0.5,0.5,0.8333333333333333,0.9166666666666667,0.0,0.0,0.0
6,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
7,0.0,0.0,0,0.0,0.8333333333333333,0.0,0.33333333333333337,0.16666666666666669,0.5,0.9166666666666667,0.0,0.0,0.0
8,0.0,0.25,0,0.0,0.5833333333333334,0.33333333333333337,0.5833333333333334,0.6666666666666666,0.5,0.75,0.0,1.0,0.0
9,0.0,0.25,0,0.25,0.75,0.16666666666666669,0.5,0.0,0.5,1.0,0.0,0.0,0.0
10,1.0,1.0,1,0.5,0.0,0.0,0.5,0.75,1.0,1.0,0.0,0.0,0.5
11,0.0,0.0,0,0.0,0.16666666666666669,0.16666666666666669,0.08333333333333331,0.16666666666666669,0.41666666666666663,0.6666666666666666,0.0,0.0,0.0
12,0.02,0.25,0,0.25,0.33333333333333337,0.0,0.8333333333333333,0.5833333333333334,0.8333333333333333,1.0,0.0,0.0,0.005
14,0.0,0.0,1,0.0,0.0,0.0,0.0,0.33333333333333337,0.5833333333333334,0.9166666666666667,0.0,0.0,0.0
15,0.001,0.0,0,1.0,0.25,0.0,0.6666666666666666,0.5,0.9166666666666667,0.8333333333333333,0.0,0.0,0.001
16,0.0,0.0,0,0.0,0.5833333333333334,0.33333333333333337,0.25,0.25,0.41666666666666663,0.5,0.0,0.0,0.0
17,0.0,0.25,0,0.25,0.41666666666666663,0.08333333333333331,0.41666666666666663,0.41666666666666663,0.33333333333333337,0.8333333333333333,0.0,0.0,0.0
19,0.001,0.0,1,0.0,0.0,0.0,0.5,0.5833333333333334,0.75,0.75,0.0,0.0,0.0
24,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.8333333333333333,0.0,0.0,0.0
26,0.0,0.0,0,0.0,0.5,0.5,0.41666666666666663,0.5833333333333334,0.5,0.75,0.0,0.0,0.0
29,0.002,0.0,0,0.0,0.33333333333333337,0.5833333333333334,0.5,0.41666666666666663,0.25,0.5,0.0,0.0,0.0
30,0.0,0.0,0,0.0,0.5,0.75,0.5,0.5,1.0,1.0,0.0,0.0,0.0
