,R02_perc_prob,R05_worry,R1a_self_efficacy_SM1,R1b_resp_efficacy_SM1,R1c_perc_cost_SM1,Q18_flood_exp,R2_implementation_SM1,Q0_age,Q0_education_UK,Q53_income_UK,Q58_savings,R03_perc_damage
3,1,1,1,5,5,0,4,35,1,5,7,1.0
5,1,1,1,2,5,0,4,74,1,1,2,3.0
6,1,1,1,1,5,0,4,56,9,2,1,1.0
7,1,1,1,1,5,0,4,70,9,5,7,1.0
8,1,2,1,5,5,0,4,57,17,5,4,1.0
9,1,2,1,1,5,0,4,53,6,3,3,2.0
10,8,5,1,4,5,1,4,35,5,2,1,3.0
11,1,1,1,1,3,0,4,62,16,5,3,1.0
12,6,2,1,3,5,0,4,37,16,5,1,2.0
14,1,1,1,5,5,1,4,27,11,4,2,1.0
15,2,1,4,3,5,0,4,65,18,5,7,5.0
16,1,1,1,1,4,0,4,49,11,5,1,1.0
17,1,2,1,2,5,0,4,75,17,4,7,2.0
19,2,1,1,4,4,1,4,39,9,3,1,1.0
24,1,1,1,1,5,0,4,63,11,5,7,1.0
26,1,1,3,4,5,0,4,55,5,2,7,1.0
29,3,1,2,2,3,0,2,51,17,1,3,1.0
30,1,1,4,3,5,0,4,67,18,1,1,1.0
31,3,1,1,3,4,1,4,19,11,5,6,2.0
32,1,1,1,2,5,0,4,77,16,3,7,1.0
36,1,1,1,3,5,0,4,64,3,4,5,1.0
37,2,1,1,3,5,0,4,41,18,5,5,1.0
40,2,1,1,1,5,0,4,49,18,1,7,2.0
44,1,1,5,4,5,1,4,72,16,3,7,1.0
46,2,1,1,3,3,0,4,51,16,2,1,1.0
49,1,1,1,1,5,0,4,54,16,5,6,1.0
51,5,1,3,3,4,0,4,41,17,3,5,3.0
52,2,2,1,3,5,0,4,50,17,5,5,1.0
53,3,2,1,5,5,0,4,59,16,5,1,3.0
54,6,3,1,1,4,1,4,68,9,3,7,2.0
56,1,1,1,1,5,0,4,60,18,2,7,2.0
57,1,1,1,3,2,0,4,56,9,3,5,1.0
58,4,3,1,3,3,0,3,69,13,2,6,5.0
61,2,1,1,1,5,0,4,69,17,4,7,3.0
65,2,1,1,1,5,1,4,65,14,3,7,1.0
66,3,2,1,5,5,0,4,56,9,5,2,3.0
67,1,2,1,1,5,1,4,66,18,4,7,1.0
69,1,1,1,1,4,0,4,60,18,4,7,2.0
70,2,2,1,4,5,0,4,73,17,2,7,1.0
74,1,1,2,4,5,0,4,39,1,4,2,1.0
75,2,1,1,3,4,0,4,59,15,1,1,1.0
77,1,1,2,4,5,0,4,58,16,4,6,1.0
79,6,2,1,1,5,0,4,63,11,5,5,2.0
82,1,1,1,1,5,0,4,73,18,3,7,1.0
83,1,1,1,1,5,0,4,73,11,2,5,1.0
84,2,1,1,1,5,0,4,59,9,5,7,1.0
85,5,2,1,2,5,0,4,58,16,1,7,2.0
86,6,3,1,3,5,1,4,61,16,2,1,3.0
87,1,1,1,4,5,0,4,56,17,5,7,1.0
89,2,3,3,2,5,0,4,67,6,5,7,1.0
90,1,1,3,2,5,1,4,54,16,3,1,1.0
91,5,2,1,2,5,0,4,53,18,1,1,2.0
92,1,1,2,3,5,0,4,58,11,2,7,1.0
94,1,1,1,5,5,0,4,63,18,1,1,1.0
95,1,1,1,5,5,0,4,57,11,3,7,1.0
97,4,1,1,1,5,0,4,62,11,5,7,3.0
98,1,1,1,1,5,1,4,68,18,4,7,1.0
100,2,1,3,1,5,0,4,41,18,5,7,2.0
103,2,2,1,1,5,0,4,69,6,4,7,5.0
104,5,2,1,4,5,1,4,55,16,4,5,2.0
105,1,1,1,1,5,0,4,58,6,4,7,1.0
106,2,1,1,1,4,0,4,76,9,3,5,1.0
108,5,2,1,1,5,0,4,70,1,4,7,1.0
109,2,2,1,1,4,1,4,54,16,2,1,2.0
110,1,1,1,1,5,1,4,65,11,4,7,1.0
111,1,1,5,3,5,0,4,68,11,4,7,1.0
112,1,1,1,5,5,0,4,64,16,4,7,1.0
113,2,1,1,1,3,0,4,70,18,4,7,1.0
114,7,1,1,1,5,1,4,80,18,5,7,1.0
115,1,1,1,3,5,0,4,66,9,2,7,1.0
117,1,1,1,1,5,0,4,34,9,5,7,1.0
118,1,1,1,1,4,0,4,62,17,5,7,1.0
