,age,Level_Education,income_category,annual_income,savings,house_size
3,35,1.0,5,70443.25,281773.0,106.31970260223048
5,74,1.0,1,19740.899999999998,9870.449999999999,17.37918215613383
6,56,2.0,2,22794.149999999998,0.0,26.30111524163569
7,70,2.0,5,70443.25,281773.0,106.31970260223048
8,57,4.0,5,70443.25,105664.875,10.037174721189592
9,53,3.0,3,27976.05,27976.05,106.31970260223048
10,35,2.0,2,22794.149999999998,0.0,17.37918215613383
11,62,3.0,5,70443.25,70443.25,30.576208178438662
12,37,3.0,5,70443.25,0.0,106.31970260223048
14,27,2.0,4,42658.1,21329.05,35.96654275092937
15,65,4.0,5,70443.25,281773.0,17.37918215613383
16,49,2.0,5,70443.25,0.0,17.37918215613383
17,75,4.0,4,42658.1,170632.4,106.31970260223048
19,39,2.0,3,27976.05,0.0,106.31970260223048
24,63,2.0,5,70443.25,281773.0,106.31970260223048
26,55,2.0,2,22794.149999999998,91176.59999999999,35.96654275092937
29,51,4.0,1,19740.899999999998,19740.899999999998,30.576208178438662
30,67,4.0,1,19740.899999999998,0.0,35.96654275092937
31,19,2.0,5,70443.25,211329.75,30.576208178438662
32,77,3.0,3,27976.05,111904.2,35.96654275092937
36,64,2.0,4,42658.1,85316.2,26.30111524163569
37,41,4.0,5,70443.25,140886.5,106.31970260223048
40,49,4.0,1,19740.899999999998,78963.59999999999,106.31970260223048
44,72,3.0,3,27976.05,111904.2,35.96654275092937
46,51,3.0,2,22794.149999999998,0.0,35.96654275092937
49,54,3.0,5,70443.25,211329.75,30.576208178438662
51,41,4.0,3,27976.05,55952.1,35.594795539033456
52,50,4.0,5,70443.25,140886.5,106.31970260223048
53,59,3.0,5,70443.25,0.0,106.31970260223048
54,68,2.0,3,27976.05,111904.2,106.31970260223048
56,60,4.0,2,22794.149999999998,91176.59999999999,106.31970260223048
57,56,2.0,3,27976.05,55952.1,35.96654275092937
58,69,3.0,2,22794.149999999998,68382.45,35.594795539033456
61,69,4.0,4,42658.1,170632.4,106.31970260223048
65,65,3.0,3,27976.05,111904.2,106.31970260223048
66,56,2.0,5,70443.25,35221.625,35.594795539033456
67,66,4.0,4,42658.1,170632.4,106.31970260223048
69,60,4.0,4,42658.1,170632.4,26.30111524163569
70,73,4.0,2,22794.149999999998,91176.59999999999,106.31970260223048
74,39,1.0,4,42658.1,21329.05,35.96654275092937
75,59,3.0,1,19740.899999999998,0.0,10.037174721189592
77,58,3.0,4,42658.1,127974.29999999999,30.576208178438662
79,63,2.0,5,70443.25,140886.5,30.576208178438662
82,73,4.0,3,27976.05,111904.2,17.37918215613383
83,73,2.0,2,22794.149999999998,45588.299999999996,35.594795539033456
84,59,2.0,5,70443.25,281773.0,106.31970260223048
85,58,3.0,1,19740.899999999998,78963.59999999999,35.96654275092937
86,61,3.0,2,22794.149999999998,0.0,106.31970260223048
87,56,4.0,5,70443.25,281773.0,106.31970260223048
89,67,3.0,5,70443.25,281773.0,106.31970260223048
90,54,3.0,3,27976.05,0.0,17.37918215613383
91,53,4.0,1,19740.899999999998,0.0,35.594795539033456
92,58,2.0,2,22794.149999999998,91176.59999999999,106.31970260223048
94,63,4.0,1,19740.899999999998,0.0,26.30111524163569
95,57,2.0,3,27976.05,111904.2,106.31970260223048
97,62,2.0,5,70443.25,281773.0,106.31970260223048
98,68,4.0,4,42658.1,170632.4,106.31970260223048
100,41,4.0,5,70443.25,281773.0,106.31970260223048
103,69,3.0,4,42658.1,170632.4,106.31970260223048
104,55,3.0,4,42658.1,85316.2,106.31970260223048
105,58,3.0,4,42658.1,170632.4,35.96654275092937
106,76,2.0,3,27976.05,55952.1,106.31970260223048
108,70,1.0,4,42658.1,170632.4,35.594795539033456
109,54,3.0,2,22794.149999999998,0.0,30.576208178438662
110,65,2.0,4,42658.1,170632.4,35.594795539033456
111,68,2.0,4,42658.1,170632.4,30.576208178438662
112,64,3.0,4,42658.1,170632.4,26.30111524163569
113,70,4.0,4,42658.1,170632.4,106.31970260223048
114,80,4.0,5,70443.25,281773.0,106.31970260223048
115,66,2.0,2,22794.149999999998,91176.59999999999,106.31970260223048
117,34,2.0,5,70443.25,281773.0,17.37918215613383
118,62,4.0,5,70443.25,281773.0,35.96654275092937
119,51,3.0,2,22794.149999999998,22794.149999999998,17.37918215613383
122,64,2.0,2,22794.149999999998,91176.59999999999,106.31970260223048
123,76,4.0,2,22794.149999999998,91176.59999999999,106.31970260223048
124,30,3.0,5,70443.25,281773.0,26.30111524163569
125,71,1.0,2,22794.149999999998,0.0,35.96654275092937
126,85,2.0,5,70443.25,281773.0,106.31970260223048
127,70,3.0,4,42658.1,170632.4,106.31970260223048
129,72,3.0,3,27976.05,13988.025,106.31970260223048
