,R05_worry,Q18_flood_exp,Q0_age,Q53_income_UK,Q4_home_size_UK,R03_perc_damage,self_efficacy_DP,self_efficacy_WP,resp_efficacy_DP,resp_efficacy_WP,perc_cost_DP,perc_cost_WP,implemented_DP,implemented_WP,Perc_probability,Level_Education,annual_income,savings_multiplier,house_size,savings,weight_PMT,weight_SN
3,0.0,0,35,5,6,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,83518.75,4.0,105.57620817843866,334075.0,0.1,0.9
5,0.0,0,74,1,2,0.5,0.0,0.0,0.5,0.5,0.8333333333333333,0.9166666666666667,0.0,0.0,0.0,1.0,18149.3,0.5,18.58736059479554,9074.65,0.3,0.7
6,0.0,0,56,2,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,20575.8,0.0,24.442379182156134,0.0,0.1,0.9
7,0.0,0,70,5,6,0.0,0.8333333333333333,0.0,0.33333333333333337,0.16666666666666669,0.5,0.9166666666666667,0.0,0.0,0.0,2.0,83518.75,4.0,105.57620817843866,334075.0,0.7,0.30000000000000004
8,0.25,0,57,5,1,0.0,0.5833333333333334,0.33333333333333337,0.5833333333333334,0.6666666666666666,0.5,0.75,0.0,1.0,0.0,4.0,83518.75,1.5,10.687732342007434,125278.125,0.5,0.5
9,0.25,0,53,3,6,0.25,0.75,0.16666666666666669,0.5,0.0,0.5,1.0,0.0,0.0,0.0,3.0,32707.149999999998,1.0,105.57620817843866,32707.149999999998,0.9,0.09999999999999998
10,1.0,1,35,2,2,0.5,0.0,0.0,0.5,0.75,1.0,1.0,0.0,0.0,1.0,2.0,20575.8,0.0,18.58736059479554,0.0,0.5,0.5
11,0.0,0,62,5,4,0.0,0.16666666666666669,0.16666666666666669,0.08333333333333331,0.16666666666666669,0.41666666666666663,0.6666666666666666,0.0,0.0,0.0,3.0,83518.75,1.0,34.85130111524164,83518.75,0.5,0.5
12,0.25,0,37,5,6,0.25,0.33333333333333337,0.0,0.8333333333333333,0.5833333333333334,0.8333333333333333,1.0,0.0,0.0,0.02,3.0,83518.75,0.0,105.57620817843866,0.0,0.7,0.30000000000000004
14,0.0,1,27,4,98,0.0,0.0,0.0,0.0,0.33333333333333337,0.5833333333333334,0.9166666666666667,0.0,0.0,0.0,2.0,44266.95,0.5,86.43122676579925,22133.475,0.5,0.5
15,0.0,0,65,5,2,1.0,0.25,0.0,0.6666666666666666,0.5,0.9166666666666667,0.8333333333333333,0.0,0.0,0.001,4.0,83518.75,4.0,18.58736059479554,334075.0,0.9,0.09999999999999998
16,0.0,0,49,5,2,0.0,0.5833333333333334,0.33333333333333337,0.25,0.25,0.41666666666666663,0.5,0.0,0.0,0.0,2.0,83518.75,0.0,18.58736059479554,0.0,0.1,0.9
17,0.25,0,75,4,6,0.25,0.41666666666666663,0.08333333333333331,0.41666666666666663,0.41666666666666663,0.33333333333333337,0.8333333333333333,0.0,0.0,0.0,4.0,44266.95,4.0,105.57620817843866,177067.8,0.7,0.30000000000000004
19,0.0,1,39,3,6,0.0,0.0,0.0,0.5,0.5833333333333334,0.75,0.75,0.0,0.0,0.001,2.0,32707.149999999998,0.0,105.57620817843866,0.0,0.1,0.9
24,0.0,0,63,5,6,0.0,0.0,0.0,0.0,0.0,0.5,0.8333333333333333,0.0,0.0,0.0,2.0,83518.75,4.0,105.57620817843866,334075.0,0.1,0.9
26,0.0,0,55,2,98,0.0,0.5,0.5,0.41666666666666663,0.5833333333333334,0.5,0.75,0.0,0.0,0.0,2.0,20575.8,4.0,86.43122676579925,82303.2,0.3,0.7
29,0.0,0,51,1,4,0.0,0.33333333333333337,0.5833333333333334,0.5,0.41666666666666663,0.25,0.5,0.0,0.0,0.002,4.0,18149.3,1.0,34.85130111524164,18149.3,0.3,0.7
30,0.0,0,67,1,98,0.0,0.5,0.75,0.5,0.5,1.0,1.0,0.0,0.0,0.0,4.0,18149.3,0.0,86.43122676579925,0.0,0.3,0.7
31,0.0,1,19,5,4,0.25,0.5,0.75,0.41666666666666663,0.8333333333333333,0.33333333333333337,0.41666666666666663,0.0,0.0,0.002,2.0,83518.75,3.0,34.85130111524164,250556.25,0.3,0.7
32,0.0,0,77,3,98,0.0,0.0,0.0,0.25,0.25,1.0,1.0,0.0,0.0,0.0,3.0,32707.149999999998,4.0,86.43122676579925,130828.59999999999,0.1,0.9
36,0.0,0,64,4,3,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,2.0,44266.95,2.0,24.442379182156134,88533.9,0.9,0.09999999999999998
37,0.0,0,41,5,6,0.0,0.5,0.25,0.33333333333333337,0.16666666666666669,0.16666666666666669,0.6666666666666666,0.0,0.0,0.001,4.0,83518.75,2.0,105.57620817843866,167037.5,0.7,0.30000000000000004
40,0.0,0,49,1,6,0.25,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.001,4.0,18149.3,4.0,105.57620817843866,72597.2,0.5,0.5
44,0.0,1,72,3,98,0.0,0.33333333333333337,0.0,0.16666666666666669,0.0,0.9166666666666667,0.8333333333333333,0.0,0.0,0.0,3.0,32707.149999999998,4.0,86.43122676579925,130828.59999999999,0.1,0.9
46,0.0,0,51,2,98,0.0,0.0,0.16666666666666669,0.5,0.25,0.75,0.33333333333333337,0.0,0.0,0.001,3.0,20575.8,0.0,86.43122676579925,0.0,0.1,0.9
49,0.0,0,54,5,4,0.0,0.5,0.33333333333333337,0.33333333333333337,0.5833333333333334,0.6666666666666666,0.8333333333333333,0.0,1.0,0.0,3.0,83518.75,3.0,34.85130111524164,250556.25,0.3,0.7
51,0.0,0,41,3,5,0.5,0.5,0.41666666666666663,0.33333333333333337,0.5,0.9166666666666667,0.9166666666666667,0.0,0.0,0.01,4.0,32707.149999999998,2.0,38.38289962825279,65414.299999999996,0.5,0.5
52,0.25,0,50,5,6,0.0,0.41666666666666663,0.0,0.33333333333333337,0.33333333333333337,0.6666666666666666,0.9166666666666667,0.0,0.0,0.001,4.0,83518.75,2.0,105.57620817843866,167037.5,0.5,0.5
53,0.25,0,59,5,6,0.5,0.5833333333333334,0.41666666666666663,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.75,0.0,0.0,0.002,3.0,83518.75,0.0,105.57620817843866,0.0,0.7,0.30000000000000004
54,0.5,1,68,3,6,0.25,0.6666666666666666,0.25,0.16666666666666669,0.08333333333333331,0.9166666666666667,0.8333333333333333,0.0,0.0,0.02,2.0,32707.149999999998,4.0,105.57620817843866,130828.59999999999,0.7,0.30000000000000004
56,0.0,0,60,2,6,0.25,0.0,0.0,0.16666666666666669,0.0,1.0,0.8333333333333333,0.0,0.0,0.0,4.0,20575.8,4.0,105.57620817843866,82303.2,0.5,0.5
57,0.0,0,56,3,98,0.0,0.0,0.0,0.6666666666666666,0.5833333333333334,0.75,0.41666666666666663,0.0,0.0,0.0,2.0,32707.149999999998,2.0,86.43122676579925,65414.299999999996,0.9,0.09999999999999998
58,0.5,0,69,2,5,1.0,0.25,0.0,0.5,0.5,0.5,0.75,0.0,1.0,0.005,3.0,20575.8,3.0,38.38289962825279,61727.399999999994,0.5,0.5
61,0.0,0,69,4,6,0.5,0.25,0.0,0.16666666666666669,0.5,0.5,0.9166666666666667,0.0,0.0,0.001,4.0,44266.95,4.0,105.57620817843866,177067.8,0.5,0.5
65,0.0,1,65,3,6,0.0,0.16666666666666669,0.33333333333333337,0.0,0.08333333333333331,0.5,0.6666666666666666,0.0,0.0,0.001,3.0,32707.149999999998,4.0,105.57620817843866,130828.59999999999,0.5,0.5
66,0.25,0,56,5,5,0.5,0.0,0.0,0.9166666666666667,0.6666666666666666,1.0,1.0,0.0,0.0,0.002,2.0,83518.75,0.5,38.38289962825279,41759.375,0.5,0.5
67,0.25,1,66,4,6,0.0,0.16666666666666669,0.33333333333333337,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,44266.95,4.0,105.57620817843866,177067.8,0.3,0.7
69,0.0,0,60,4,3,0.25,0.33333333333333337,0.16666666666666669,0.16666666666666669,0.33333333333333337,0.5833333333333334,0.75,0.0,0.0,0.0,4.0,44266.95,4.0,24.442379182156134,177067.8,0.5,0.5
70,0.25,0,73,2,6,0.0,0.41666666666666663,0.08333333333333331,0.6666666666666666,0.5833333333333334,0.75,0.8333333333333333,0.0,0.0,0.001,4.0,20575.8,4.0,105.57620817843866,82303.2,0.7,0.30000000000000004
74,0.0,0,39,4,98,0.0,0.33333333333333337,0.0,0.5,1.0,0.33333333333333337,1.0,0.0,0.0,0.0,1.0,44266.95,0.5,86.43122676579925,22133.475,0.9,0.09999999999999998
75,0.0,0,59,1,1,0.0,0.0,0.0,0.41666666666666663,0.5833333333333334,0.75,0.8333333333333333,0.0,0.0,0.001,3.0,18149.3,0.0,10.687732342007434,0.0,0.1,0.9
77,0.0,0,58,4,4,0.0,0.25,0.25,0.5833333333333334,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,3.0,44266.95,3.0,34.85130111524164,132800.84999999998,0.1,0.9
79,0.25,0,63,5,4,0.25,0.5833333333333334,0.33333333333333337,0.5,0.25,0.9166666666666667,0.8333333333333333,0.0,0.0,0.02,2.0,83518.75,2.0,34.85130111524164,167037.5,0.7,0.30000000000000004
82,0.0,0,73,3,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,32707.149999999998,4.0,18.58736059479554,130828.59999999999,0.1,0.9
83,0.0,0,73,2,5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,20575.8,2.0,38.38289962825279,41151.6,0.1,0.9
84,0.0,0,59,5,6,0.0,0.0,0.0,0.5,0.33333333333333337,0.9166666666666667,0.9166666666666667,0.0,0.0,0.001,2.0,83518.75,4.0,105.57620817843866,334075.0,0.7,0.30000000000000004
85,0.25,0,58,1,98,0.25,0.0,0.16666666666666669,0.25,0.33333333333333337,0.9166666666666667,1.0,0.0,1.0,0.01,3.0,18149.3,4.0,86.43122676579925,72597.2,0.5,0.5
86,0.5,1,61,2,6,0.5,0.0,0.0,0.41666666666666663,0.5,0.8333333333333333,0.8333333333333333,0.0,0.0,0.02,3.0,20575.8,0.0,105.57620817843866,0.0,0.7,0.30000000000000004
87,0.0,0,56,5,6,0.0,0.25,0.16666666666666669,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.8333333333333333,0.0,0.0,0.0,4.0,83518.75,4.0,105.57620817843866,334075.0,0.3,0.7
89,0.5,0,67,5,6,0.0,0.33333333333333337,0.75,0.25,0.41666666666666663,1.0,0.9166666666666667,0.0,0.0,0.001,3.0,83518.75,4.0,105.57620817843866,334075.0,0.5,0.5
90,0.0,1,54,3,2,0.0,0.0,0.0,0.5,0.16666666666666669,1.0,1.0,0.0,0.0,0.0,3.0,32707.149999999998,0.0,18.58736059479554,0.0,0.7,0.30000000000000004
91,0.25,0,53,1,5,0.25,0.5,0.0,0.75,0.5833333333333334,1.0,1.0,0.0,0.0,0.01,4.0,18149.3,0.0,38.38289962825279,0.0,0.9,0.09999999999999998
92,0.0,0,58,2,6,0.0,0.5,0.41666666666666663,0.25,0.16666666666666669,0.9166666666666667,0.9166666666666667,0.0,0.0,0.0,2.0,20575.8,4.0,105.57620817843866,82303.2,0.7,0.30000000000000004
94,0.0,0,63,1,3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,18149.3,0.0,24.442379182156134,0.0,0.1,0.9
95,0.0,0,57,3,6,0.0,0.0,0.0,0.5,0.8333333333333333,0.9166666666666667,0.8333333333333333,0.0,0.0,0.0,2.0,32707.149999999998,4.0,105.57620817843866,130828.59999999999,0.9,0.09999999999999998
97,0.0,0,62,5,6,0.5,0.0,0.0,0.0,0.0,1.0,0.8333333333333333,0.0,0.0,0.005,2.0,83518.75,4.0,105.57620817843866,334075.0,0.5,0.5
98,0.0,1,68,4,6,0.0,1.0,0.0,0.0,0.0,0.5,0.75,0.0,1.0,0.0,4.0,44266.95,4.0,105.57620817843866,177067.8,0.1,0.9
100,0.0,0,41,5,6,0.25,0.8333333333333333,0.5833333333333334,0.0,0.0,0.41666666666666663,0.75,0.0,0.0,0.001,4.0,83518.75,4.0,105.57620817843866,334075.0,0.1,0.9
103,0.25,0,69,4,6,1.0,0.5,0.16666666666666669,0.33333333333333337,0.16666666666666669,0.41666666666666663,0.9166666666666667,0.0,0.0,0.001,3.0,44266.95,4.0,105.57620817843866,177067.8,0.1,0.9
104,0.25,1,55,4,6,0.25,0.08333333333333331,0.08333333333333331,0.75,0.75,0.75,0.8333333333333333,0.0,0.0,0.01,3.0,44266.95,2.0,105.57620817843866,88533.9,0.3,0.7
105,0.0,0,58,4,98,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,44266.95,4.0,86.43122676579925,177067.8,0.1,0.9
106,0.0,0,76,3,6,0.0,0.33333333333333337,0.41666666666666663,0.5833333333333334,0.6666666666666666,0.33333333333333337,0.8333333333333333,0.0,0.0,0.001,2.0,32707.149999999998,2.0,105.57620817843866,65414.299999999996,0.3,0.7
108,0.25,0,70,4,5,0.0,0.5,0.75,0.33333333333333337,0.5,0.5,0.6666666666666666,0.0,0.0,0.01,1.0,44266.95,4.0,38.38289962825279,177067.8,0.7,0.30000000000000004
109,0.25,1,54,2,4,0.25,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,0.0,0.0,0.001,3.0,20575.8,0.0,34.85130111524164,0.0,0.5,0.5
110,0.0,1,65,4,5,0.0,0.0,0.08333333333333331,0.0,0.0,0.6666666666666666,0.8333333333333333,0.0,0.0,0.0,2.0,44266.95,4.0,38.38289962825279,177067.8,0.3,0.7
111,0.0,0,68,4,4,0.0,0.5,0.6666666666666666,0.5,0.5,1.0,0.9166666666666667,0.0,0.0,0.0,2.0,44266.95,4.0,34.85130111524164,177067.8,0.5,0.5
112,0.0,0,64,4,3,0.0,0.75,0.41666666666666663,0.75,0.41666666666666663,0.6666666666666666,0.75,0.0,0.0,0.0,3.0,44266.95,4.0,24.442379182156134,177067.8,0.1,0.9
113,0.0,0,70,4,6,0.0,0.0,0.33333333333333337,0.16666666666666669,0.33333333333333337,0.75,0.6666666666666666,0.0,0.0,0.001,4.0,44266.95,4.0,105.57620817843866,177067.8,0.9,0.09999999999999998
114,0.0,1,80,5,6,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.1,4.0,83518.75,4.0,105.57620817843866,334075.0,0.1,0.9
115,0.0,0,66,2,6,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,2.0,20575.8,4.0,105.57620817843866,82303.2,0.5,0.5
117,0.0,0,34,5,2,0.0,0.0,0.08333333333333331,0.33333333333333337,0.5833333333333334,0.75,0.6666666666666666,0.0,0.0,0.0,2.0,83518.75,4.0,18.58736059479554,334075.0,0.1,0.9
118,0.0,0,62,5,98,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.6666666666666666,0.0,0.0,0.0,4.0,83518.75,4.0,86.43122676579925,334075.0,0.7,0.30000000000000004
119,0.25,0,51,2,2,0.0,0.0,0.08333333333333331,0.5,0.41666666666666663,0.9166666666666667,0.9166666666666667,0.0,0.0,0.02,3.0,20575.8,1.0,18.58736059479554,20575.8,0.5,0.5
122,0.0,0,64,2,6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,20575.8,4.0,105.57620817843866,82303.2,0.1,0.9
123,0.0,1,76,2,6,0.25,0.41666666666666663,0.41666666666666663,0.33333333333333337,0.75,0.8333333333333333,0.6666666666666666,0.0,0.0,0.001,4.0,20575.8,4.0,105.57620817843866,82303.2,0.9,0.09999999999999998
124,0.0,0,30,5,3,0.25,0.16666666666666669,0.5,0.0,0.0,0.6666666666666666,0.8333333333333333,0.0,0.0,0.0,3.0,83518.75,4.0,24.442379182156134,334075.0,0.1,0.9
125,0.0,0,71,2,98,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,1.0,20575.8,0.0,86.43122676579925,0.0,0.9,0.09999999999999998
126,0.0,0,85,5,6,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,83518.75,4.0,105.57620817843866,334075.0,0.9,0.09999999999999998
127,0.0,0,70,4,6,0.0,0.75,0.41666666666666663,0.41666666666666663,0.5833333333333334,0.41666666666666663,0.6666666666666666,0.0,0.0,0.0,3.0,44266.95,4.0,105.57620817843866,177067.8,0.7,0.30000000000000004
